21:20:29 -> INFO: Archivo de carga de escena de lua correctamente inicializado
21:20:29 -> WARN: trying to move a static rigidBody will result in nothig
21:20:29 -> WARN: trying to move a static rigidBody will result in nothig
21:20:29 -> WARN: trying to move a static rigidBody will result in nothig
21:20:29 -> WARN: trying to move a static rigidBody will result in nothig
21:20:29 -> WARN: trying to move a static rigidBody will result in nothig
21:20:29 -> WARN: trying to move a static rigidBody will result in nothig
21:20:29 -> WARN: trying to move a static rigidBody will result in nothig
21:20:29 -> WARN: trying to move a static rigidBody will result in nothig
21:20:29 -> WARN: trying to move a static rigidBody will result in nothig
21:20:29 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
21:20:30 -> WARN: trying to move a static rigidBody will result in nothig
